,Content
80,humble
81,you know what I'm saying You ain't even cocky at all
82,Like people wouldn't know
83,you know what I'm saying til they start talking to you
84,But
85,you know
86,that's just what it is
87,But
88,but
89,just
90,because you have that hermetic type of vibe
91,you know I could tell that I can
92,get good leadership from you
93,because you know how to listen as well as l knowing how to
94,f you know
95,lead
96,<>
97,You know
98,something
99,you know that I don't know
100,I know that
101,you know with
102,just
103,RDWORK
104,period
105,that you know I know
106,hm
107,as a independent artist
108,you know we have our egos about ourselves and we feel like
109,god damn pretty much
110,I could do it on my own
111,We hear o everybody on the on the radio talking about some I did it on my own I did it my own Self made
112,You know all this and that
113,But they really got a whole team behind them
114,<clears throat>
115,You got another question?
116,<> Yeah I got plenty more
117,<>
118,Um
119,and that was well spoken
120,I I might add
121,in m in my um opinion
122,Thank you thank you
123,Um
124,so how long have you been living in Atlanta?
125,Well
126,man I started actually l
127,legit living in Atlanta
128,really Decatur
129,east side Atlanta
130,uh what was this was like twenty fifteen
131,This w this around twenty fifteen
132,I s I came here
133,when I
134,right around November
135,twenty fifteen man
136,And uh you know it was just like
137,obviously Atlanta is
138,the land of opportunity so
139,you know
140,coming from where I come from
141,which is
142,Rockdale county AKA Trapdale
143,you know everybody is kind of in this closed box I it's no
144,And Rockdale's in Georgia?
145,Rockdale's in Georgia It's pretty much
146,Mmhm
147,at the end of the east side like you know what I'm saying It's like the literally like
148,you know
149,two counties over ing
150,Far east side
151,Yeah far east side
152,Mmhm
153,It's just far east side That's all
154,So
155,you know
156,And how long how long have you been um
157,everybody has this
158,What's that?
159,in Rockdale?
160,I've been in Rockdale since I was in the fifth grade man It was
161,Okay
162,Yeah I grew up in Rockdale so
163,you know that's that's definitely where I where I'm
164,where I'm hailing from right now
165,That is
166,So where did you came from before that?
167,Well Milwaukee Wisconsin
168,Milwaukee Wisconsin is my
169,state
170,I was born in
171,Okay
172,you know what I'm saying
173,Mmhm
174,So
175,you know my family I got strong ties in Milwaukee
176,That's you know that's my my pop's side of the family
177,Mmhm
178,and that's the side that I got I was blessed to
179,you know get to know
180,And you know just even just seeing the leadership from my
181,grandfather that's what even brought me to this place right now
182,why I have confidence to do what I do
183,That's real That's real I will definitely wanna
184,<clears throat>
185,you know touch more on
186,family or how you feel
187,about your relationship with your family
188,I feel like my relationship with my family
189,is distant
190,cause I've always been distant
191,you know And that's n
192,that word in itself distant explains everything
193,You know every
194,<clears throat>
195,like
196,everything wasn't in my will to be how it is right now
197,You know some certain things my parents done you know right or wrong
198,led me to this point
199,of where I'm at with my family
200,So
201,you know
202,at the end of the day
203,I love 'em
204,They love me
205,You know I know that
206,You know
207,at the end of the day they don't want me to die They want me to stay alive so you know
208,<>
209,That's definitely love
210,But um
211,you know I I keep them in mind man They always
212,they you know
213,throughout my life they've definitely checked in have definitely helped me
214,and reached out
215,So it's just like as the as
216,we solid
217,you know
218,And just as long as I'm c as far as I'm concerned
219,the the important things
220,they're there for the important things for sure
221,So you have
222,siblings?
223,I have siblings man
224,I'm actually the oldest
225,of five
226,Ah nice
227,Yeah man like
228,and it's just like <> I'm the oldest but
229,I grew up like
230,as the only child
231,slick
232,You that much older?
233,Mm
234,not that I'm that much older like
235,Mmhm
236,it's just we're just all far apart
237,Like m me and my brother
238,Mmhm
239,that
240,you know my mom o had only had two kids My da my dad had other
241,uh children So
242,um
243,you know with that
244,um like
245,my brother actually ran away
246,when I was in middle school
247,and he ended up
248,going to his dad's
249,And from that point on from middle school on
250,up I was you know
251,at the crib by myself
252,So it was just like you know I had other siblings but I didn't have
253,the time to ha have 'em all under my wing and
254,me be able to touch them all how I want to
255,Ooh
256,and affect them like that
257,you know
258,Mm
259,Which I really wish but you know that that's not
260,you know
261,it is what it is man
262,Nah definitely
263,<clears throat>
264,definitely
265,On a um
266,on another note
267,tell me about growing up
268,in school
269,Oh man
270,I guess we could start with um
271,maybe like
272,middle school
273,Mm
274,Mm
275,inaudible
276,growing up in middle school
277,it was
278,tough cause I was a weirdo man
279,And I'm still a weirdo and that's okay
280,<>
281,Everybo everybody that is okay
282,Okay I
283,That's okay
284,I think it's very okay to be a weirdo
285,I honestly I feel like in this generation
286,I think it's more
287,it's way cooler to be a weirdo now Not so much back then though
288,they
289,Nah not not not not at all back then
290,?
291,Damn not at all
292,Like I was suffering back then
293,My middle school like bruh
294,my shit was so dry bruh
295,They say the meek shall inherit the earth so you just never peaked yet man
296,And I I'm a late bloomer
297,You a late bloomer I am too man
298,I'm a late bloomer It is what it is you know what I'm saying
299,S
300,it's something to be proud of
301,Like
302,I developed myself
303,to where I started to find out
304,uh more about myself in middle school because of poetry
305,Okay
306,In middle school
307,in growing up in school
308,that was my biggest background was poetry
309,because
310,sixth grade
311,the curriculum came
312,shout out to Miss 
313,Mmhm
314,you know what I'm saying she the one taught me that shit
315,So
316,from that point
317,you know she encouraged me to keep going
318,and from there I was like okay
319,So I I
320,I loved
321,I loved the fact that
322,it was
323,everything that
324,I needed at that point
325,Poetry provided
326,the
327,organization and
328,Mm
329,and and and substance and
330,the therapy that I needed at that time because
331,you know it was just like
332,you know it was six grade like I said I'm being the only child
333,my parents
334,like my mom I was living with my mom and her boyfriend
335,so it was just like
336,you know they weren't
337,too like
338,involved
339,with my personal life
340,Okay
341,Yeah like so it was just like we all lived in that house but
342,it's like we didn't really actually communicate with each other
343,H
344,So
345,yeah so
346,you know
347,school was really
348,the only thing that provided me some type of hope towards
349,a better future and this that and the other which is
350,you know crazy cause I still don't
351,I don't fuck with school
352,You really enjoyed going to school like that though
353,<>
354,Only because it provided things that weren't provided at my home
355,Oh man whispered
356,You see what I'm saying
357,Like I said poetry like came along and
358,you know once I found out how to start writing bruh like
359,When were y when were you when were you poetry guy like when were you the best at the poetry?
360,from
361,Um
362,Or were you
363,even the best at the poetry
364,<exhale> man I I don't
365,back then?
366,know every
367,person who made poetry
368,Mmhm
369,cause you know
370,poets aren't like artists like rappers
371,They don't s
372,They don't just be like
373,??
374,I write poetry you know what I'm saying and be spitting poetry bars
375,Like motherfuckers write that shit in they class
376,Okay
377,it's like in the back
378,N
379,t s
380,you know what I'm saying just ch y in a cut
381,right
382,on some cool ass shit
383,on some cool shit you know what I'm saying Like
384,Mmhm
385,and
386,at that time like ninth grade like ninth grade's when I started
387,fullfledge
388,everything The poetry the rap
389,Okay
390,you know what I'm saying It fused together to where
391,Mmhm
392,you know what I'm saying from ninth grade on I propelled
393,from there
394,you know what I'm saying but
395,middle school I had the foundation
396,of poetry
397,Nah that's perfect cause
398,that's like evidence you was doing it before it was trendy
399,before it was cool and shit like that Nah definitely
400,<>
401,Right right
402,Those people I think are the rawest I'm
403,I
404,I was definitely doing this beat shit before there was YouTube
405,tutorial videos inaudible so
406,Yeah like breathy
407,it came natural you know what I'm saying like this
408,it wasn't
409,Struggle
410,forced
411,Like it was a gift that was already given to me and
412,through me learning poetry of course I'm gonna learn poetry in rhythm
413,rhythm in poetry
414,You gotta really be somebody to take it there cause some people scared to take it there with the poetry shit
415,Mmhm
416,Yeah bruh I mean
417,that's
418,where it all started
419,So what what
420,what is it w about poetry that some rhyme and some doesn't?
421,Some rhyme and some doesn't?
422,Cause you just say what
423,What's your preference?
424,whatever comes I mean
425,there is no preference
426,because with poetry it's so
427,it's infinite
428,you know what I'm saying infinite possibilities on what type of poem you can make
429,So it's just like
430,you know the poetry
431,that rhymes
432,you know some some poetry is just literally you s you talking
433,through
434,you know stream of consciousness
435,So you just saying things you saying you saying whatever
436,it it may be you may use poetic terms
437,you know things like that to make it sound like a actual poem but like
438,Mmhm
439,Okay
440,it may not even rhyme
441,You know but then
442,Yeah like I'm tryna
443,like anything can be a poem if that's the case though right?
444,If it don't have to rhyme and
445,Well you gotta think about
446,don't have to
447,let's say
448,for instance a speech
449,a speech has
450,logos pathos and ethos
451,Okay
452,I don't know what that is
453,but I heard that before
454,Alright
455,So these are different terminologies in speech
456,that people learn but it's also used in poetry as well
457,It's
458,you know the logical emotional
459,and the shit I forgot the other one
460,<>
461,but you know around that that concept
462,So it's just like they use
463,like
464,you know I'm'a have to read something
465,Okay
466,I got I gotta read you something
467,I dismiss myself from nigga the king
468,so dismiss me as a nigga when I call you queen
469,Apple isn't far from the tree which means
470,I'm a world away from niggas falling towards me
471,Out in the sun we catch vitamin D
472,Offer you the finer things
473,Could you catch the experience if I offered it for free?
474,Liberation at its best
475,couldn't catch a thing
476,It was separating materials and physicalities
477,just to see if your mentality on knowledge of diamonds
478,that determines if it's Zeus or Poseidon
479,I show you ocean
480,Do you wanna fly like lightning or is your mind set to coasting?
481,All retrospective just to see who you are
482,I just gotta aks the questions to explore your spectrum
483,So from now on what we talk about ain't out the rectum
484,Rectifying
485,electrifying
486,conversation just to prove you're mine
487,You know what I'm saying
488,boom boom
489,<>
490,That was dope
491,That was dope to the max
492,Gonna be rich
493,<>
494,<>
495,That was really cool
496,So how old are you?
497,I am twentythree years old
498,Twentythree
499,That's a good number
500,<>
501,I think
502,regardless
503,Twentythree man What you um
504,whatchu got planned
505,five years from now?
506,Well
507,five years?
508,Well
509,<exhale>
510,Whatchu see for yourself?
511,in f
512,in five years it's a it's almost like
513,you know tomorrow's not promised Of course I have
514,my plans in my head of how things are supposed to go or what I would like
515,Mm
516,Mmhm
517,you know
518,but
519,I'm at this point in time
520,I'm just kind of letting things evolve as
521,as
522,I'm going
523,because my biggest
524,focus now is to keep
525,moving
526,to keep
527,m
528,consisting you know what I'm saying
529,Being persistent in what I'm
530,looking to do for the rest of my life
531,Like
532,you know this is like I explained earlier
533,you know this is a
534,a
535,going towards legacy
536,classic
537,things of that nature
538,longevity
539,Okay
540,You know why would I why would I aim for
541,aim
542,aim short?
543,For what?
544,Okay
545,You know if you gonna do something that's
546,you know outside of going to college and you know going to
547,outside the norm
548,m well might as well be great at it
549,You might m
550,make it worth it
551,Make it worth it
552,totally worth it
553,Definitely
554,I mean come on we live in a whole different generation now like
555,you see what type of money out here
556,Real money
557,Like
558,when you get to a point to where
559,you have the advantage and you can just take advantage whenever you want
560,at will
561,you can make
562,the the moves you
563,you need to make
564,I got the moves
565,There's money out here n like sitting
566,You know what I'm saying like
567,so it's just like
568,let's get it
569,I'm o n like my focus is on the now really
570,<> Let's get it
571,Ay even though we don't
572,we don't really need nobody else but god
573,I still think we need to rock with um
574,that um Mr Hudson cat
575,the chess player
576,cause he might
577,could really get our
578,our minds sharp enough to like we can use the resources we got to really
579,you know do some damage and turn up
580,Okay
581,Why not?
582,I mean you know
583,just off of what you said I trust it I mean
584,w
585,is
586,I mean just something to
587,you know
588,You gotta you gotta
589,try ?
590,gotta be around 'em gotta find out
591,I mean you know
592,definitely it sounds like a worthwhile I mean t
593,I mean it sure seem like ??
594,iron sharpen iron That dude sound like some steel to me man I'm <>
595,Yeah
596,<>
597,?
598,And um he definitely agree that it would
599,that's definitely one of the ways to get better just being around people who better and stuff
600,That's one person I can
601,safely say is a l
602,bit better than me
603,So
604,I'm not even good like that
605,But um
606,let's see
607,what um
608,you prefer to do
609,when it's just
610,for fun
611,just when you're not doing poetry and
612,<>
613,your artis stry and
614,Listening to music ing
615,Listening to music
616,Yeah like
617,You can't get away from music huh?
618,I it's not that I can't get away from music cause I watch anime
619,Okay
620,You know what I'm saying that's that's a whole nother
621,I
622,I mean but anime got some of the dopest music in that
623,That's what I do yeah that's what I do outside of
624,I watch anime
625,Okay
626,But I I mean
627,Anime that's cool
628,I watch anime I watch shows that that are interesting on Netflix
629,Um
630,<ts>
631,You heard of American Gods?
632,Mm no
633,No? Okay
634,It's pretty insane
635,But um
636,what I've seen
637,Okay
638,Might have to check it out
639,Mmhm
640,But I don't be like
641,What else?
642,yeah
643,um
644,my m like
645,I listen to music I'm a l music listener as well you know
646,Okay you listen to music
647,Like it's it's just like
648,You're a fan of music
649,I'm a fan of music you know what I'm saying that
650,That's great
651,that's what that's what
652,that's what it all started from I was a fan of music
653,you came in here playing a bunch of other people's stuff other than your own stuff
654,way back in
655,elementary
656,Yeah
657,Uzi Future
658,Yeah
659,fan of music
660,I'm
661,I'm a fan of music
662,Yachty
663,you know
664,I love good music
665,I mean I love to make good music but I love good music
666,I mean if it's good music
667,Rock with the cool stuff
668,if it you know what I'm saying got a good rhythm if I can feel it
669,I mean and the thing is who
670,are you to tell me what
671,feels good to me
672,Alright now I'm'a let you hear that one beat cause
673,<>
674, said that beat was wack He wasn't fucking with it at all
675,Okay
676,But I'm I'm'a let you hear it You can let me know what you think honestly and shit like that I
677,Okay
678,I wasn't um
679,upset either way
680,It's a
681,lot of beats for everybody and shit
682,Absolutely
683,But um
684,let's see
685,You know how that go
686,can you hoop?
687,You pretty tall How tall are you?
688,I'm about six four
689,Nah I had I had my time hooping
690,but
691,I'm the football player
692,Okay
693,that
694,hooped
695,Okay
696,And I was
697,physical
698,Oh okay How um
699,I was real physical I I honestly I was more like I'm getting fouled out
700,cause I'm so physical
701,That's cool too though
702,and I think everybody else need to get they weight up
703,Okay
704,And it's not like I'm thinking that cause I saw a video where it was this dude talking about I forgot his name
705,<>
706,But uh yeah but uh yeah it was just like I was I felt so guilty cause I was like oh my god
707,that's
708,<>
709,that's me
710,unintelligible
711,I like I didn't you know they used to call me Shaq
712,Yeah
713,They used to call me Shaq Like I
714,Shaq ing
715,cause I spe I had you know I spent my time playing basketball cause I was like shoot
716,Yeah
717,you know back in high school like I was tryna
718,you know I was doing football
719,Mm
720,But it was like they wouldn't let me play basketball
721,Yeah
722,Like it was just like come on man Like I'm I'm telling the coach like come on if you just train me how to
723,like here I am
724,You said if you just train me ing
725,If you ju
726,here I am I'm like six two I'm like six one six two in ninth grade
727,Mmhm
728,you know what I'm saying And it's just like
729,here I am
730,ready to learn a sport
731,you know what I'm saying Like
732,I'm like hey
733,but they ain't wanna take that time
734,inaudible
735,They dropped the ball
736,and that says a lot about they coaching
737,And you know it is what it is cause I don't really give a fuck I ain't in school no more What they gonna do write me up?
738,<>
739,Yeah definitely
740,Like you know what I'm saying
741,Definitely
742,It is what it is It's just like you know
743,fuck you Fuck you too You ain't wanna take time you know to teach me
744,<>
745,fuck you Like you know what I'm saying so it was like with b with
746,with school basketball they never
747,you know
748,p put me on the team
749,I never made the team
750,Yup
751, didn't make the cut
752,<>
753,Oh my god
754,And it is what it is
755,Yeah
756,but
757,football was my thing
758,Was
759,did somebody dunk? Did you go to tryouts?
760,I went to tryouts but I wasn't a basketball player
761,Were niggas em
762,were the folks embarrassing you?
763,like I don't
764,the thing is
765,not not folks embarrassing me no no no
766,Okay
767,It's more like
768,out of ignorance
769,like
770,of the game
771,Oh yeah they dropped the ball You coulda
772,any person that
773,is actually come to you got people that's good b that don't come to the coach like hey just teach me
774,But I'm telling him like ay
775,whatever
776,like I ain't I don't know nothing
777,And at your size too
778,you know what I'm saying I don't know nothing and I'm six I'm like six one six two
779,Well fuck your mentality
780,I'm like boy I'm like man I'm like i
781,I'm like as a coa like as somebody who
782,I actually invest my time in people
783,Mmhm
784,you know what I'm saying I'm not saying that I am a coach
785,but
786,you know
787,I coach people
788,Mmhm
789,you know and it's just like
790,as
791,like
792,if it's somebody
793,with that size if I was a f
794,basketball coach
795,Mmhm
796,I woulda taught that kid how to freaking play
797,Easy
798,Easy
799,Easy
800,And
801,But you gotta think about it
802,yeah
803,It's people like around your age right now a little bit older
804,They team wasn't that damn big
805,No I'm just I'm just saying
806,they um
807,like at twentyfour twentyfive twentysix like it's some
808,Oh
809,you know people around our age that just don't give a fuck
810,about the kids
811,So
812,even if somebody
813,some kids did come to them be like oh
814,<ts> like get out of here little nigga or some shit like that
815,Oh yeah
816,so
817,Well I guess I care and shit so
818,You care
819,They
820,Yeah
821,apparently didn't so
822,Well I mean you know
823,That shouldn't even be too
824,that is true that you know everybody got n
825,different
826,yeah that's real shit
827,At the end of the day though
828,um
829,you know that was what it was
830,I wasn't supposed to be on that basketball team
831,I was supposed to be on the football team
832,It's politics definitely in a lot of that school sport shit big time
833,I could believe it The coach is talking like uhuh
834,I don't want him mmmm
835,Yeah
836,But I mean at the same time it's just like but still really
837,there's kids that actually you know what I'm saying but I I know what you mean by that
838,the politics behind it
839,But um
840,it's just like so you know
841,?? politics whispered
842,because basketball didn't do it
843,football did it for me
844,And I was like alright They taught me how to play
845,They was like alright come on
846,Mmhm
847,we gonna get it
848,let's go
849,Okay
850,put on the pants
851,What um what position you play in football?
852,Man football was I started off defense
853,Defense
854,I was a I was a defensive um
855,Okay
856,end
857,Oh okay
858,Yeah
859,So
860,I did defensive end pretty much til
861,eleven grade like
862,and the like half of the season eleven grade
863,Mmhm
864,cause these mother f like
865,baby star
866,which was
867,coach star son
868,took me off of defe
869,Baby star whispered
870,defense eleven grade cause I got injured
871,o
872,at practice
873,His
874,A dude slid at my foot bruh
875,Ah with the cleats on?
876,No he slid his body at my f
877,at
878,Oh
879,I'm the big nigga ing They sliding at me <>
880,Oh yeah I
881,See that's what they
882,Tryna stop me and shit
883,yeah they be chop blocking
884,And they
885,is
886,chop blocking and shit fucked my achilles up bruh
887,It is what it is but you know what I'm saying
888,It is what it is
889,just a little injury and shit you know
890,But um
891,Gladiator sport man
892,on some gladiator sport shit
893,<>
894,Like that's that's what took me off of defense
895,But
896,the thing is it was a blessing in disguise
897,because the next year
898,I was a senior
899,and I was starting offense
900,Now mind you
901,I wasn't gonna play
902,my twelfth grade year
903,Mmhm
904,cause i just because of the fact that they hit me with that bullshit
905,And then I was like I already don't wanna play
906,Yeah
907,You know what I'm saying
908,Did you get more girls when you was playing on the team?
909,D
910,I was always playing on the team This is <>
911,no I just saying
912,I was just known as the football guy
913,um
914,you was the football guy
915,Okay
916,Yeah that's the thing though
917,junior year I started playing th I was doing theater
918,as well
919,Oh okay you started showing the range
920,Mind you I
921,I did track
922,Mmhm
923,shot put and discus
924,Oh and shot put too okay
925,from ninth grade too
926,I did I did yeah shot put and discus
927,defensive end
928,Okay
929,n from ninth grade
930,Letterman guy
931,yeah I was a definite le letterman guy for sure
932,Okay
933,Yeah
934,So when when you can only be surprised on how how surprised people were
935,Okay
936,when I started doing theater in eleventh grade
937,Oh okay
938,<>
939,oh yeah you
940,They was cause they was like
941,Ay this dude is really taking it there
942,Mmhm
943,Football jock doing the theater shit cool as shit
944,The football jock is doing theater and he's actually good at it
945,And he's actually good Come on let's
946,He's actually good
947,let's pay attention to this shit <>
948,Like
949,I got awards for for a the plays I did I did
950,What school you was at?
951,RDSCHOOL High School
952,Ooh RDSCHOOL High School whispered
953,You know I mean
954,n
955,people w
956,cause the that's the thing you know as a as a
957,big black man
958,Mmhm
959,people put me in a box
960,Yeah
961,And then a
962,as a artist
963,you already know people
964,automatically ain't gonna understand me
965,Mmhm
966,cause they already they looking for me to be a certain person
967,I'm doing
968,football I'm doing this that and the other so they putting stereotypes on me
969,that I'm this type of guy
970,and that I'm bound to do this
971,Okay
972,And they don't they don't even
973,think about I'm
974,I'm bound to be great in something else
975,Mmhm
976,cause they they so focused on this thing cause it's the popular
977,the football and the sports and stuff is popular
978,It's gonna get me a scholarship or whatever
979,Oh yup yup that's what everybody talking about
980,So you know e exactly
981,And it was And you know but
982,They not thinking about down the line this person being on TV ??
983,They don't think about
984,what actually makes me happy
985,Nah definitely not
986,you know what I'm saying
987,It's not about my actual
988,It's about
989,like setting me up for
990,it's about who can go to the NBA or the NFL
991,exactly
992,Make some money off this bitch
993,Who
994,who can who g o is setting me up to try to make
995,you know what I'm saying
996,more than a thousand dollars
997,<>
998,And
999,and honestly you know people mean well I I can't
1000,I mean when you really think about it though
1001,fault people
1002,I just know I wouldn't go about it that way
1003,the basketball stars is probably definitely getting paid
1004,more than the um theater stars in high school
1005,Honestly bruh
1006,you know unintelligible
1007,I'm paving the way so that way I can be on some Will and Jada uh
1008,new real Will and Jalen shit
1009,<>
1010,God damn like on some shit like my kid can do whatever the fuck he wants
1011,Sweet
1012,Whatever right?
1013,Whatever he wants
1014,That'd be lit
1015,Like that's lit
1016,That's
1017,That's what I'm aiming for cause I'm
1018,that's what parenting is supposed to be bruh
1019,I'm aiming to get it out the way
1020,Yeah
1021,so that way th you know what I'm saying my kid can be
1022,who he's meant to be
1023,and not who he's
1024,who
1025,like me and his mom or whoever
1026,is forcing him like you know what I'm saying like
1027,subconsciously kind of forcing him into this person
1028,We may not know what we doing you know
1029,just like parents they they're ignorant of what they do to you because
1030,in they in they mind they doing what's best
1031,Ay man
1032,I just know that
1033,you
1034,legitly got a chance to pull the rap card out
1035,as a
1036,you know hustle to get some bread
1037,as opposed to
1038,some of these other cats That's what I ??
1039,Appreciate it
1040,Appreciate it
1041,That Slay stamp
1042,Slayer stamp man
1043,But who knows maybe that same talent
1044,you know might can um translate in
1045,a different type of department
1046,or career or some shit
1047,Not even just different
1048,Bruh like
1049,rapping is just a step
1050,Rapping
1051,r d like hip hop in itself is is a skeleton It's
1052,Mmhm
1053,it's not even the whole you know the whole body of
1054,Okay
1055,the work
1056,you know what I'm saying
1057,Mmhm
1058,It's my foundation
1059,to be able to have opportunity to do more
1060,cause once I'm known as a
1061,Yeah
1062,hip hop artist
1063,and a legit hip hop artist
1064,then
1065,other people are gonna be
1066,coming at
1067,us
1068,with opportunities of what we can do
1069,Mmhm
1070,with them Because they hear
1071,our shit
1072,and they be like okay
1073,this is hot
1074,Okay
1075,I see he actually talking about something
1076,We have concepts
1077,Mmhm
1078,you know what I'm saying We are fishing
1079,for
1080,the people we want to involve ourselves with
1081,and
1082,shit
1083,we may get they competitors We may be fishing for one type of person
1084,and they competitors might hit us up
1085,And the people we actually fish for we may not even get them
1086,and that's okay
1087,<>
1088,That's true too
1089,you know what I'm saying ing
1090,Like you know that all that is what it is but at the end of the day all this is a foundation
1091,to
1092,get us
1093,to
1094,that money that's out here
1095,Like that's it
1096,<>
1097,Like I said like I this shit is out here
1098,unintelligible
1099,Mmhm
1100,It's out here Once we lay the foundation bruh like shit
1101,universe will god damn
1102,shift for us
1103,<>
1104,As long as we
1105,consistently creating as long as are
1106,you know what I'm saying consistently bringing out
1107,these positive vibes
1108,you know
1109,Gotta keep the positive vibes especially now more than ever
1110,we're gotta keep the positive vibes
1111,<exhale> Boy what
1112,Cause I f I see it just like whatever we saying like
1113,it's coming about in
1114,different ways and stuff so
1115,we need to keep that positive energy
1116,flowing man
1117,Mm
1118,What type of food
1119,you into
1120,right about now?
1121,<ts>
1122,Man actually
1123,I rock with
1124,Vietnamese pho
1125,and it's spelled
1126,PHO
1127,And I like
1128,I like the shrimp pho
1129,And I like the
1130,<>
1131,a and I like the beef pho
1132,I definitely like the beef pho
1133,Bruh
1134,I w I I wanna try the shrimp
1135,pho
1136,Yeah
1137,it's really good
1138,<>
1139,But um and I'll actually like it with the herbs and shit in it like with all the
1140,not every not e
1141,all of them but yeah I like I all with even yeah
1142,All that shit
1143,I put it all in there I be like yeah I want the
1144,I want the authentic god damn ing
1145,Authentic? So you feel like you can go to actual where
1146,a
1147,Oh I know a place called So Ba
1148,Vietnam and shit?
1149,It's a place called So Ba in uh East Atlanta Village
1150,So Ba
1151,Too bad they ain't paying me for this
1152,But hey
1153,I know right
1154,<> I'm shouting 'em out and shit
1155,Definitely
1156,<>
1157,But um
1158,yeah man
1159,I rock with So Ba in East Atlanta Village but
1160,there's this one in the city though
1161,I ain't gonna even
1162,Okay
1163,What el what else? What other type of cuisine?
1164,you know you gonna have to pull up
1165,Um
1166,<ts>
1167,the ramen
1168,because of Naruto Shout out to Naruto
1169,???
1170,Okay
1171,Um
1172,god damn
1173,<ts>
1174,man honestly
1175,I
1176,cook
1177,Like I just make sh I just make whatever
1178,Cooking is great
1179,I'm slick a alchemist bruh
1180,I just go in there and just whip up
1181,whatever's in the kitchen like
1182,And you just know how to make it
1183,yeah
1184,???
1185,and that's shout out to Uncle 
1186,because he the one who showed me
1187,that all you know what I'm saying all these different ways and m mechanisms and making
1188,making food M taught me how to make a omelette
1189,type shit
1190,That's gonna come in handy Shouts out
1191,<>
1192,That's definitely gonna come in handy
1193,shouts out Uncle 
1194,Shout out Uncle 
1195,definitely
1196,Oh man we flowing god
1197,You know
1198,Thirty three minutes of
1199,um
1200,stuff
1201,And we still on the mother fucking airwaves
1202,We still rolling
1203,<>
1204,<>
1205,Let's say this again This is  AKA 
1206,<imitates music>
1207,Chilling with
1208,you already know  slaying
1209,everything
1210,including this interview
1211,Gatorade or Powerade?
1212,Mm that's a good one
1213,See
1214,I'm rocking Powerade because it's cheaper
1215,Mmhm
1216,But
1217,But
1218,Gatorade has a sweeter little taste to it
1219,It slick do
1220,that
1221,I really fuck with
1222,because
1223,<>
1224,<>
1225,unintelligible response
1226,I actually fu
1227,<>
1228,I
1229,because
1230,that was a great response
1231,because
1232,you know I actually did play football and I actually like did
1233,drink gatorade during the game <>
1234,Ooh unintelligible
1235,We actually did have po
1236,like Gatorade like yeah
1237,Did y'all have the Gatorade powder mix?
1238,The the
1239,the powder mix bruh
1240,<>
1241,The powder mix
1242,Even the powder mix is sweeter
1243,We had the powder mix on lock bruh
1244,??
1245,Okay just turning them joints up
1246,definitely
1247,We was in that bitch with that shit bruh
1248,Mm
1249,Yeah we we got the Powerade sometime but most time we had the Gatorade And you can definitely tell the difference
1250,Yeah
1251,you can
1252,But Pa
1253,Powerade rock out too and
1254,it's
1255,definitely clutch
1256,Absolutely
1257,Absolutely
1258,?
1259,Powerade
1260,has
1261,Lemon lime ??
1262,saved my thirst
1263,and quenched my thirst so many times
1264,Look how huge the bottle is
1265,Why Gatorade bottles don't be coming like this for real for real?
1266,N
1267,like
1268,you n
1269,you know they know why
1270,They ?
1271,They you know they know they got the ingredient
1272,Oh because Gatorade came out first and
1273,Oh really
1274,I mean they
1275,I could believe that
1276,I mean they came out first but they
1277,Powerade coulda made they shit a little bit sweeter man
1278,They could
1279,in a cooler way
1280,n
1281,They could
1282,Gatorade when you thirsty
1283,e
1284,it damn near tastes like KoolAid
1285,<exhale>
1286,Bruh what?
1287,<>
1288,I ain't wanna say that I ain't wanna go there
1289,<> Obviously we already took it there
1290,I ain't wanna go to the hood days
1291,I was like ay this this shit
1292,<>
1293,really kind of tastes like KoolAid but it's really like
1294,Mmhm
1295,thirst quencher type shit
1296,Oh my gosh I haven't had KoolAid in so long
1297,Like bruh
1298,Why were we drinking that?
1299,<>
1300,<>
1301,It like a pound of sugar It
1302,Cause you could just put the sugar in the mother fucking water in that bitch
1303,The
1304,a
1305,and then
1306,so much sugar
1307,<>
1308,put packets in that mother fucker
1309,Yeah
1310,and have a whole gallon
1311,I ain't even think about mixing it til later on like
1312,That shit you save a lot of money like drinking the KoolAid if you think about
1313,it was only
1314,Oh yup
1315,It was a staple of the
1316,it was a yeah it only amounted just about three dollars
1317,? that KoolAid
1318,Make you some KoolAid every week
1319,and have use half a pound
1320,You was happy
1321,or a quarter of
1322,<>
1323,you was happy as shit you got fucking KoolAid
1324,<>
1325,rocking
1326,As long as a nigga had KoolAid bruh
1327,unintelligible no sugar
1328,we good
1329,E oh no that that's a whole nother stress right there
1330,Mmhm
1331,KoolAid no sugar
1332,Oh my god that's the worst
1333,I remember drinking KoolAid with no sugar and just how horrible that was tasting
1334,<exhale>
1335,Ah
1336,<sound effect>
1337,Just might as well drink some water
1338,<>
1339,Nah definitely
1340,all of that
1341,You know about um
1342,the alkaline water and stuff like that?
1343,And that's
1344,pretty much the healthiest of the healthiest water whispered
1345,Okay
1346,Brother conscious is woke up out this thing man
1347,If you don't mind
1348,do you have any um
1349,brother conscious um
1350,I don't know
1351,soliloquies that you would like to
1352,you know go on
1353,Well
1354,actually
1355,you know there's
1356,o
1357,there's just
1358,you definitely been posting some cool shit on your
1359,biggest thing that yeah
1360,Instagram
1361,And I'll go into that
1362,So
1363,?? still going
1364,right right right
1365,<>
1366,Man you know my my biggest
1367,advice to all the artists that's
1368,starting out
1369,and
1370,really looking to
